iter	Passed	Remaining
403	10432	41211
404	10456	41181
405	10481	41152
406	10507	41126
407	10532	41097
408	10556	41066
409	10581	41035
410	10606	41006
411	10632	40981
412	10657	40953
413	10683	40928
414	10708	40899
415	10733	40870
416	10757	40838
417	10782	40808
418	10810	40792
419	10835	40763
420	10860	40733
421	10886	40707
422	10911	40681
423	10936	40652
424	10961	40623
425	10993	40617
426	11018	40590
427	11043	40560
428	11069	40536
429	11094	40507
430	11119	40478
431	11143	40448
432	11168	40419
433	11193	40389
434	11218	40360
435	11243	40331
436	11269	40307
437	11293	40276
438	11318	40247
439	11345	40225
440	11371	40201
441	11397	40175
442	11422	40146
443	11447	40116
444	11471	40086
445	11496	40055
446	11520	40026
447	11545	39998
448	11571	39970
449	11595	39940
450	11620	39910
451	11644	39881
452	11669	39853
453	11694	39824
454	11719	39794
455	11744	39766
456	11769	39738
457	11794	39710
458	11819	39683
459	11844	39654
460	11871	39633
461	11896	39603
462	11924	39585
463	11950	39560
464	11976	39533
465	12013	39546
466	12039	39520
467	12063	39491
468	12092	39475
469	12118	39449
470	12143	39421
471	12168	39393
472	12194	39366
473	12218	39337
474	12243	39307
475	12268	39278
476	12292	39248
477	12317	39219
478	12341	39189
479	12367	39164
480	12394	39143
481	12421	39119
482	12446	39090
483	12470	39061
484	12495	39032
485	12520	39004
486	12545	38976
487	12570	38947
488	12595	38921
489	12623	38902
490	12650	38877
491	12674	38848
492	12700	38821
493	12725	38795
494	12752	38774
495	12778	38746
496	12802	38717
497	12827	38688
498	12853	38664
499	12879	38639
500	12909	38624
501	12934	38596
502	12959	38568
503	12984	38540
504	13021	38549
505	13047	38522
506	13071	38492
507	13096	38464
508	13121	38437
509	13146	38408
510	13171	38380
511	13196	38352
512	13222	38326
513	13247	38300
514	13272	38270
515	13297	38241
516	13322	38214
517	13346	38185
518	13372	38160
519	13397	38131
520	13424	38107
521	13449	38081
522	13475	38055
523	13500	38028
524	13525	37999
525	13550	37972
526	13575	37943
527	13599	37914
528	13624	37885
529	13650	37861
530	13675	37833
531	13700	37806
532	13725	37777
533	13750	37748
534	13774	37719
535	13799	37691
536	13824	37663
537	13849	37636
538	13875	37610
539	13902	37588
540	13931	37572
541	13957	37545
542	13982	37518
543	14018	37520
544	14048	37504
545	14072	37476
546	14097	37447
547	14122	37418
548	14146	37389
549	14171	37361
550	14200	37344
551	14231	37332
552	14261	37317
553	14286	37288
554	14310	37259
555	14335	37230
556	14365	37216
557	14392	37193
558	14417	37165
559	14442	37138
560	14467	37110
561	14496	37091
562	14521	37064
563	14547	37039
564	14572	37011
565	14598	36985
566	14622	36956
567	14647	36928
568	14672	36901
569	14697	36873
570	14726	36853
571	14751	36826
572	14776	36798
573	14802	36773
574	14827	36745
575	14853	36722
576	14881	36700
577	14907	36674
578	14934	36653
579	14961	36628
580	14985	36600
581	15012	36576
582	15047	36574
583	15073	36547
584	15100	36524
585	15125	36498
586	15151	36472
587	15176	36444
588	15201	36417
589	15226	36388
590	15251	36360
591	15275	36331
592	15304	36313
593	15329	36285
594	15355	36258
595	15380	36232
596	15405	36203
597	15430	36175
598	15458	36155
599	15483	36127
600	15514	36113
601	15540	36089
602	15565	36061
603	15590	36033
604	15618	36011
605	15642	35983
606	15667	35955
607	15692	35927
608	15717	35898
609	15742	35872
610	15767	35844
