iter	AverageGain:top=10
0	0.1088495575
1	0.1097345133
2	0.1093552465
3	0.1102402023
4	0.110619469
5	0.1108723135
6	0.1108723135
7	0.1112515803
8	0.111630847
9	0.112136536
10	0.1120101138
11	0.1125158028
12	0.112642225
13	0.1130214918
14	0.1132743363
15	0.1130214918
16	0.1128950695
17	0.1134007585
18	0.1134007585
19	0.1128950695
20	0.1130214918
21	0.113147914
22	0.1132743363
23	0.1135271808
24	0.113653603
25	0.113653603
26	0.113653603
27	0.1134007585
28	0.1135271808
29	0.1135271808
30	0.1134007585
31	0.113653603
32	0.113653603
33	0.113653603
34	0.113653603
35	0.113653603
36	0.113653603
37	0.1137800253
38	0.1137800253
39	0.1140328698
40	0.1140328698
41	0.1139064475
42	0.1140328698
43	0.1140328698
44	0.1140328698
45	0.1139064475
46	0.1140328698
47	0.114159292
48	0.114159292
49	0.114159292
50	0.114159292
51	0.1140328698
52	0.1139064475
53	0.1137800253
54	0.1140328698
55	0.1140328698
56	0.1139064475
57	0.1137800253
58	0.1139064475
59	0.1137800253
60	0.1137800253
61	0.113653603
62	0.113653603
63	0.1137800253
64	0.1137800253
65	0.1137800253
66	0.1137800253
67	0.113653603
68	0.1135271808
69	0.1137800253
70	0.1137800253
71	0.1137800253
72	0.1139064475
73	0.1139064475
74	0.1139064475
75	0.1140328698
76	0.1139064475
77	0.1139064475
78	0.1139064475
79	0.1139064475
80	0.1140328698
81	0.1140328698
82	0.1139064475
83	0.1140328698
84	0.114159292
85	0.114159292
86	0.114159292
87	0.1142857143
88	0.114159292
89	0.114159292
90	0.1140328698
91	0.1140328698
92	0.1140328698
93	0.114159292
94	0.114159292
95	0.114159292
96	0.114159292
97	0.114159292
98	0.114159292
99	0.1140328698
100	0.1142857143
101	0.1142857143
102	0.1144121365
103	0.1142857143
104	0.114159292
105	0.1142857143
106	0.1140328698
107	0.114159292
108	0.114159292
109	0.1144121365
110	0.1145385588
111	0.1145385588
112	0.1142857143
113	0.114159292
114	0.114159292
115	0.1142857143
116	0.114159292
117	0.114159292
118	0.1142857143
119	0.1142857143
120	0.1142857143
121	0.1142857143
122	0.1144121365
123	0.1144121365
124	0.1144121365
125	0.1144121365
126	0.1145385588
127	0.1145385588
128	0.114664981
129	0.114664981
130	0.1145385588
131	0.1144121365
132	0.1144121365
133	0.1144121365
134	0.1144121365
135	0.1142857143
136	0.1142857143
137	0.1142857143
138	0.1142857143
139	0.1142857143
140	0.1142857143
141	0.114159292
142	0.114159292
143	0.114159292
144	0.1142857143
145	0.1142857143
146	0.1142857143
147	0.1144121365
148	0.1144121365
149	0.1144121365
150	0.1144121365
151	0.1144121365
152	0.1144121365
153	0.1145385588
154	0.1144121365
155	0.1144121365
156	0.1144121365
157	0.1144121365
158	0.1144121365
159	0.1142857143
160	0.1144121365
161	0.1145385588
162	0.1145385588
163	0.1145385588
164	0.1145385588
165	0.1145385588
166	0.1145385588
167	0.1145385588
168	0.1144121365
169	0.1144121365
170	0.1144121365
171	0.1144121365
172	0.1145385588
173	0.1145385588
174	0.114664981
175	0.1145385588
176	0.1145385588
177	0.1145385588
178	0.114664981
179	0.1145385588
180	0.114664981
181	0.114664981
182	0.114664981
183	0.114664981
184	0.114664981
185	0.1147914033
186	0.1147914033
187	0.1147914033
188	0.1147914033
189	0.1147914033
190	0.1145385588
191	0.1145385588
192	0.1145385588
193	0.1145385588
194	0.1145385588
195	0.1145385588
196	0.1145385588
197	0.1145385588
198	0.114664981
199	0.114664981
200	0.1147914033
201	0.1147914033
202	0.1147914033
203	0.1147914033
204	0.1147914033
205	0.1147914033
206	0.1149178255
207	0.1147914033
208	0.1147914033
209	0.1147914033
210	0.114664981
211	0.114664981
212	0.114664981
213	0.114664981
214	0.114664981
215	0.1147914033
216	0.1147914033
217	0.1147914033
218	0.1147914033
219	0.1147914033
220	0.114664981
221	0.1147914033
222	0.1147914033
223	0.1147914033
224	0.1147914033
225	0.1147914033
226	0.1147914033
227	0.1147914033
228	0.1147914033
229	0.1147914033
230	0.1147914033
231	0.1147914033
232	0.1147914033
233	0.1147914033
234	0.114664981
235	0.1147914033
236	0.1147914033
237	0.1147914033
238	0.1147914033
239	0.1147914033
240	0.1147914033
241	0.1147914033
242	0.1149178255
243	0.1149178255
244	0.1149178255
245	0.1149178255
246	0.1149178255
247	0.1149178255
248	0.1149178255
249	0.1149178255
250	0.1149178255
251	0.1149178255
252	0.1149178255
253	0.1149178255
254	0.1149178255
255	0.1149178255
256	0.1150442478
257	0.1150442478
258	0.1150442478
259	0.1150442478
260	0.1150442478
261	0.1150442478
262	0.1149178255
263	0.1149178255
264	0.1149178255
265	0.1149178255
266	0.1149178255
267	0.1149178255
268	0.1149178255
269	0.1149178255
270	0.1149178255
271	0.1149178255
272	0.1149178255
273	0.1149178255
274	0.1149178255
275	0.1149178255
276	0.1149178255
277	0.1147914033
278	0.1147914033
279	0.1149178255
280	0.1149178255
281	0.1149178255
282	0.1149178255
283	0.1149178255
284	0.1149178255
285	0.1149178255
286	0.1149178255
287	0.1149178255
288	0.1149178255
289	0.1149178255
290	0.1147914033
291	0.1147914033
292	0.114664981
293	0.114664981
294	0.114664981
295	0.114664981
296	0.114664981
297	0.114664981
298	0.114664981
299	0.114664981
300	0.114664981
301	0.114664981
302	0.114664981
303	0.114664981
304	0.1147914033
305	0.1147914033
306	0.1147914033
307	0.1147914033
308	0.1147914033
309	0.1147914033
310	0.1147914033
311	0.1147914033
312	0.1147914033
313	0.114664981
314	0.114664981
315	0.114664981
316	0.1147914033
317	0.1147914033
